2025-04-29 01:31:19,309 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 01:31:19,310 - __main__ - INFO - Debug mode: True
2025-04-29 01:31:19,321 - __main__ - INFO - ==================================================
2025-04-29 01:31:19,322 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 01:31:19,322 - __main__ - INFO - ==================================================
2025-04-29 01:31:19,322 - __main__ - INFO - Card feature dimension: 8
2025-04-29 01:31:19,322 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 01:31:19,323 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 01:31:19,323 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 01:31:19,324 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 01:31:19,324 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 01:31:19,324 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 01:31:19,325 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 01:31:19,325 - __main__ - INFO - Action dimension: 88
2025-04-29 01:31:19,326 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 01:31:19,326 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 01:31:19,326 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 01:31:19,326 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 01:31:19,542 - __main__ - INFO - Using device: cuda
2025-04-29 01:31:20,556 - __main__ - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-29 01:31:20,557 - __main__ - INFO - Training parameters: lr=0.001, weight_decay=0.0001, batch_size=2048, replay_size=10000, num_simulations=100
2025-04-29 01:31:20,557 - __main__ - INFO - ==================================================
2025-04-29 01:31:20,623 - __main__ - INFO - Loading model from models/alphazero_final.pth
2025-04-29 01:31:20,626 - __main__ - INFO - Loaded model from iteration 6
2025-04-29 01:31:20,628 - __main__ - INFO - Starting AlphaZero training from iteration 7 for 1 iterations
2025-04-29 01:31:20,629 - __main__ - INFO - Starting iteration 7/7
2025-04-29 01:31:20,629 - __main__ - INFO - Starting self-play phase
2025-04-29 01:31:20,630 - __main__ - INFO - Current curriculum stage: {'min_score': 5}
2025-04-29 01:31:20,641 - __main__ - INFO - Starting game 1/20
2025-04-29 01:31:22,291 - __main__ - DEBUG - Game 1, Step 1: Player 0 chose action 0
2025-04-29 01:31:22,773 - __main__ - DEBUG - Game 1, Step 2: Player 1 chose action 53
2025-04-29 01:31:23,243 - __main__ - DEBUG - Game 1, Step 3: Player 2 chose action 4
2025-04-29 01:31:23,705 - __main__ - DEBUG - Game 1, Step 4: Player 3 chose action 0
2025-04-29 01:31:24,147 - __main__ - DEBUG - Game 1, Step 5: Player 0 chose action 5
2025-04-29 01:31:24,681 - __main__ - DEBUG - Game 1, Step 6: Player 1 chose action 50
2025-04-29 01:31:25,123 - __main__ - DEBUG - Game 1, Step 7: Player 2 chose action 0
2025-04-29 01:31:25,589 - __main__ - DEBUG - Game 1, Step 8: Player 3 chose action 0
2025-04-29 01:31:26,056 - __main__ - DEBUG - Game 1, Step 9: Player 0 chose action 14
2025-04-29 01:31:26,524 - __main__ - DEBUG - Game 1, Step 10: Player 1 chose action 26
2025-04-29 01:31:27,044 - __main__ - DEBUG - Game 1, Step 11: Player 2 chose action 4
2025-04-29 01:31:27,613 - __main__ - DEBUG - Game 1, Step 12: Player 3 chose action 53
2025-04-29 01:31:28,175 - __main__ - DEBUG - Game 1, Step 13: Player 0 chose action 4
2025-04-29 01:31:28,753 - __main__ - DEBUG - Game 1, Step 14: Player 1 chose action 2
2025-04-29 01:31:29,477 - __main__ - DEBUG - Game 1, Step 15: Player 2 chose action 4
2025-04-29 01:31:30,079 - __main__ - DEBUG - Game 1, Step 16: Player 3 chose action 0
2025-04-29 01:31:30,647 - __main__ - DEBUG - Game 1, Step 17: Player 0 chose action 53
2025-04-29 01:31:31,253 - __main__ - DEBUG - Game 1, Step 18: Player 1 chose action 4
2025-04-29 01:31:31,819 - __main__ - DEBUG - Game 1, Step 19: Player 2 chose action 42
2025-04-29 01:31:32,415 - __main__ - DEBUG - Game 1, Step 20: Player 3 chose action 1
2025-04-29 01:31:32,989 - __main__ - DEBUG - Game 1, Step 21: Player 0 chose action 53
2025-04-29 01:31:33,565 - __main__ - DEBUG - Game 1, Step 22: Player 1 chose action 1
2025-04-29 01:31:34,172 - __main__ - DEBUG - Game 1, Step 23: Player 2 chose action 0
2025-04-29 01:31:34,800 - __main__ - DEBUG - Game 1, Step 24: Player 3 chose action 4
2025-04-29 01:31:35,442 - __main__ - DEBUG - Game 1, Step 25: Player 0 chose action 53
2025-04-29 01:31:36,163 - __main__ - DEBUG - Game 1, Step 26: Player 1 chose action 28
2025-04-29 01:31:36,840 - __main__ - DEBUG - Game 1, Step 27: Player 2 chose action 1
2025-04-29 01:31:37,480 - __main__ - DEBUG - Game 1, Step 28: Player 3 chose action 27
2025-04-29 01:31:38,152 - __main__ - DEBUG - Game 1, Step 29: Player 0 chose action 3
2025-04-29 01:31:38,807 - __main__ - DEBUG - Game 1, Step 30: Player 1 chose action 2
2025-04-29 01:31:39,469 - __main__ - DEBUG - Game 1, Step 31: Player 2 chose action 9
2025-04-29 01:31:40,183 - __main__ - DEBUG - Game 1, Step 32: Player 3 chose action 28
2025-04-29 01:31:40,904 - __main__ - DEBUG - Game 1, Step 33: Player 0 chose action 12
2025-04-29 01:31:41,631 - __main__ - DEBUG - Game 1, Step 34: Player 1 chose action 2
2025-04-29 01:31:42,370 - __main__ - DEBUG - Game 1, Step 35: Player 2 chose action 49
2025-04-29 01:31:42,995 - __main__ - DEBUG - Game 1, Step 36: Player 3 chose action 44
2025-04-29 01:31:43,687 - __main__ - DEBUG - Game 1, Step 37: Player 0 chose action 32
2025-04-29 01:31:44,401 - __main__ - DEBUG - Game 1, Step 38: Player 1 chose action 69
2025-04-29 01:31:45,036 - __main__ - DEBUG - Game 1, Step 39: Player 2 chose action 0
2025-04-29 01:31:45,678 - __main__ - DEBUG - Game 1, Step 40: Player 3 chose action 42
2025-04-29 01:31:46,353 - __main__ - DEBUG - Game 1, Step 41: Player 0 chose action 1
2025-04-29 01:31:47,055 - __main__ - DEBUG - Game 1, Step 42: Player 1 chose action 4
2025-04-29 01:31:47,804 - __main__ - DEBUG - Game 1, Step 43: Player 2 chose action 48
2025-04-29 01:31:48,615 - __main__ - DEBUG - Game 1, Step 44: Player 3 chose action 2
2025-04-29 01:31:49,388 - __main__ - DEBUG - Game 1, Step 45: Player 0 chose action 2
2025-04-29 01:31:50,137 - __main__ - DEBUG - Game 1, Step 46: Player 1 chose action 53
2025-04-29 01:31:50,967 - __main__ - DEBUG - Game 1, Step 47: Player 2 chose action 3
2025-04-29 01:31:51,621 - __main__ - DEBUG - Game 1, Step 48: Player 3 chose action 69
2025-04-29 01:31:52,341 - __main__ - DEBUG - Game 1, Step 49: Player 0 chose action 30
2025-04-29 01:31:52,904 - __main__ - DEBUG - Game 1, Step 50: Player 1 chose action 4
2025-04-29 01:31:53,498 - __main__ - DEBUG - Game 1, Step 51: Player 2 chose action 57
2025-04-29 01:31:54,069 - __main__ - DEBUG - Game 1, Step 52: Player 3 chose action 7
2025-04-29 01:31:54,761 - __main__ - DEBUG - Game 1, Step 53: Player 0 chose action 1
2025-04-29 01:31:55,401 - __main__ - DEBUG - Game 1, Step 54: Player 1 chose action 61
2025-04-29 01:31:56,022 - __main__ - DEBUG - Game 1, Step 55: Player 2 chose action 14
2025-04-29 01:31:56,642 - __main__ - DEBUG - Game 1, Step 56: Player 3 chose action 57
2025-04-29 01:31:57,318 - __main__ - DEBUG - Game 1, Step 57: Player 0 chose action 0
2025-04-29 01:31:57,941 - __main__ - DEBUG - Game 1, Step 58: Player 1 chose action 2
2025-04-29 01:31:58,589 - __main__ - DEBUG - Game 1, Step 59: Player 2 chose action 61
2025-04-29 01:31:59,305 - __main__ - DEBUG - Game 1, Step 60: Player 2 chose action 61
2025-04-29 01:32:00,004 - __main__ - DEBUG - Game 1, Step 61: Player 3 chose action 32
2025-04-29 01:32:00,677 - __main__ - DEBUG - Game 1, Step 62: Player 0 chose action 2
2025-04-29 01:32:01,421 - __main__ - DEBUG - Game 1, Step 63: Player 1 chose action 61
2025-04-29 01:32:02,189 - __main__ - DEBUG - Game 1, Step 64: Player 2 chose action 30
2025-04-29 01:32:02,881 - __main__ - DEBUG - Game 1, Step 65: Player 3 chose action 13
2025-04-29 01:32:03,510 - __main__ - DEBUG - Game 1, Step 66: Player 0 chose action 4
2025-04-29 01:32:04,291 - __main__ - DEBUG - Game 1, Step 67: Player 1 chose action 2
2025-04-29 01:32:04,981 - __main__ - DEBUG - Game 1, Step 68: Player 2 chose action 4
2025-04-29 01:32:05,582 - __main__ - DEBUG - Game 1, Step 69: Player 3 chose action 27
2025-04-29 01:32:06,185 - __main__ - DEBUG - Game 1, Step 70: Player 0 chose action 1
2025-04-29 01:32:06,836 - __main__ - DEBUG - Game 1, Step 71: Player 1 chose action 58
2025-04-29 01:32:07,481 - __main__ - DEBUG - Game 1, Step 72: Player 2 chose action 3
2025-04-29 01:32:08,121 - __main__ - DEBUG - Game 1, Step 73: Player 3 chose action 66
2025-04-29 01:32:09,111 - __main__ - DEBUG - Game 1, Step 74: Player 0 chose action 1
